T,k1,k2,k4,k6,k12
1.845000000000000862e+00,3.042155163179850463e-01,4.876351532268066724e-01,6.208140082708538676e-01,6.293186715844448775e-01,6.296259811122698613e-01
1.850000000000000977e+00,3.030244388413373957e-01,4.854017556454873761e-01,6.164678948428207184e-01,6.245777954272394572e-01,6.248827570831676503e-01
1.855000000000001092e+00,3.018358120421285040e-01,4.831694009099777309e-01,6.121560836425126162e-01,6.199031060871722509e-01,6.202057611670590553e-01
1.860000000000000986e+00,3.006497041857515984e-01,4.809384667714414197e-01,6.078794319108741240e-01,6.152928871738797545e-01,6.155932778595389898e-01
1.865000000000000879e+00,2.994661860100668593e-01,4.787093196156890773e-01,6.036386810259756208e-01,6.107454994130904202e-01,6.110436600803573759e-01
1.870000000000000995e+00,2.982853249511309701e-01,4.764823126190978475e-01,5.994344673609933727e-01,6.062593733258129225e-01,6.065553383449721059e-01
1.875000000000001110e+00,2.971071871860077596e-01,4.742577922045579375e-01,5.952673270970268993e-01,6.018330134249797458e-01,6.021268113276526668e-01
1.880000000000001004e+00,2.959318355344466300e-01,4.720360929155734131e-01,5.911376957090656026e-01,5.974649719853178942e-01,5.977566362513901943e-01
1.885000000000000897e+00,2.947593285829165910e-01,4.698175380701832271e-01,5.870459338341852407e-01,5.931538788783722316e-01,5.934434366838828856e-01
1.890000000000001013e+00,2.935897307065895023e-01,4.676024395888769281e-01,5.829923153832797800e-01,5.888984051405369291e-01,5.891858860995750069e-01
1.895000000000001128e+00,2.924230940593021688e-01,4.653911028718041853e-01,5.789770411468446731e-01,5.846972802214803755e-01,5.849827088344475845e-01
1.900000000000001021e+00,2.912594790904778352e-01,4.631838212088015827e-01,5.750002505244825590e-01,5.805492862887010608e-01,5.808326903222752469e-01
1.905000000000000915e+00,2.900989368959107639e-01,4.609808772937376564e-01,5.710620101895271805e-01,5.764532422736227124e-01,5.767346451779346017e-01
1.910000000000001030e+00,2.889415197038227023e-01,4.587825485824484351e-01,5.671623411807050763e-01,5.724080173385995840e-01,5.726874466804868780e-01
1.915000000000001146e+00,2.877872808970673435e-01,4.565890940277931298e-01,5.633012030614729104e-01,5.684125186056213641e-01,5.686899950529958891e-01
1.920000000000001039e+00,2.866362673614732404e-01,4.544007772722127303e-01,5.594785191931354040e-01,5.644656995684730338e-01,5.647412504572461023e-01
1.925000000000000933e+00,2.854885253922302413e-01,4.522178397692313556e-01,5.556941583884091873e-01,5.605665399865958909e-01,5.608401857093440190e-01
1.930000000000001048e+00,2.843441036937123800e-01,4.500405227680917553e-01,5.519479617110970571e-01,5.567140657358752298e-01,5.569858338083658600e-01
